id,cui,sectionId
1,20233543,135
2,20233543,123
3,20233543,89
4,20233543,71
5,20233543,55
6,20233543,41
7,20233544,135
8,20233544,123
9,20233544,89
10,20233544,71
11,20233544,55
12,20233544,41
13,20233545,135
14,20233545,123
15,20233545,89
16,20233545,71
17,20233545,55
18,20233545,41
19,20233546,135
20,20233546,123
21,20233546,89
22,20233546,71
23,20233546,55
24,20233546,41
25,20233547,135
26,20233547,123
27,20233547,89
28,20233547,71
29,20233547,55
30,20233547,41
31,20233548,134
32,20233548,124
33,20233548,93
34,20233548,75
35,20233548,65
36,20233548,45
37,20233549,134
38,20233549,124
39,20233549,93
40,20233549,75
41,20233549,65
42,20233549,45
43,20233550,134
44,20233550,124
45,20233550,93
46,20233550,75
47,20233550,65
48,20233550,45
49,20233551,134
50,20233551,124
51,20233551,93
52,20233551,75
53,20233551,65
54,20233551,45
55,20233552,134
56,20233552,124
57,20233552,93
58,20233552,75
59,20233552,65
60,20233552,45
61,20233553,133
62,20233553,125
63,20233553,103
64,20233553,76
65,20233553,67
66,20233553,47
67,20233554,133
68,20233554,125
69,20233554,103
70,20233554,76
71,20233554,67
72,20233554,47
73,20233555,133
74,20233555,125
75,20233555,103
76,20233555,76
77,20233555,67
78,20233555,47
79,20233556,133
80,20233556,125
81,20233556,103
82,20233556,76
83,20233556,67
84,20233556,47
85,20233557,133
86,20233557,125
87,20233557,103
88,20233557,76
89,20233557,67
90,20233557,47
91,20233558,132
92,20233558,126
93,20233558,101
94,20233558,73
95,20233558,68
96,20233558,48
97,20233559,132
98,20233559,126
99,20233559,101
100,20233559,73
101,20233559,22
102,20233559,18
103,20233559,7
104,20233560,132
105,20233560,126
106,20233560,101
107,20233560,73
108,20233560,68
109,20233560,48
110,20233561,131
111,20233561,127
112,20233561,105
113,20233561,72
114,20233561,69
115,20233561,49
116,20233562,131
117,20233562,127
118,20233562,105
119,20233562,72
120,20233562,69
121,20233562,49
122,20233563,131
123,20233563,127
124,20233563,105
125,20233563,72
126,20233563,69
127,20233563,49
128,20233564,131
129,20233564,127
130,20233564,105
131,20233564,72
132,20233564,69
133,20233564,49
134,20233565,131
135,20233565,127
136,20233565,105
137,20233565,72
138,20233565,69
139,20233565,49
140,20233566,130
141,20233566,129
142,20233566,102
143,20233566,74
144,20233566,70
145,20233566,50
146,20233567,130
147,20233567,129
148,20233567,102
149,20233567,74
150,20233567,70
151,20233567,50
152,20233568,130
153,20233568,129
154,20233568,102
155,20233568,74
156,20233568,70
157,20233568,50
158,20233569,130
159,20233569,129
160,20233569,102
161,20233569,74
162,20233569,70
163,20233569,50
164,20233570,130
165,20233570,129
166,20233570,102
167,20233570,74
168,20233570,70
169,20233570,50
170,20233571,129
171,20233571,128
172,20233571,99
173,20233571,75
174,20233571,71
175,20233571,51
176,20233572,129
177,20233572,128
178,20233572,99
179,20233572,75
180,20233572,71
181,20233572,51
182,20233573,129
183,20233573,128
184,20233573,99
185,20233573,75
186,20233573,71
187,20233573,51
188,20233574,129
189,20233574,128
190,20233574,99
191,20233574,75
192,20233574,71
193,20233574,51
194,20233575,129
195,20233575,128
196,20233575,99
197,20233575,75
198,20233575,71
199,20233575,51
200,20233576,128
201,20233576,128
202,20233576,98
203,20233576,76
204,20233576,72
205,20233576,52
206,20230100,128
207,20230100,98
208,20230100,76
209,20230100,72
210,20230100,52
211,20230099,127
212,20230099,97
213,20230099,77
214,20230099,73
215,20230099,53
216,20230098,127
217,20230098,97
218,20230098,77
219,20230098,73
220,20230098,53
221,20230097,126
222,20230097,96
223,20230097,78
224,20230097,74
225,20230097,54
226,20230096,126
227,20230096,96
228,20230096,78
229,20230096,74
230,20230096,54
231,20230095,125
232,20230095,95
233,20230095,79
234,20230095,75
235,20230095,55
236,20230094,125
237,20230094,95
238,20230094,79
239,20230094,75
240,20230094,55
241,20230093,124
242,20230093,94
243,20230093,80
244,20230093,76
245,20230093,56
246,20230092,124
247,20230092,94
248,20230092,80
249,20230092,76
250,20230092,56
251,20221580,123
252,20221580,93
253,20221580,81
254,20221580,77
255,20221580,57
256,20221579,123
257,20221579,93
258,20221579,81
259,20221579,77
260,20221579,57
261,20221578,122
262,20221578,92
263,20221578,82
264,20221578,78
265,20221578,58
266,20221577,122
267,20221577,92
268,20221577,82
269,20221577,78
270,20221577,58
271,20221576,121
272,20221576,91
273,20221576,83
274,20221576,79
275,20221576,59
276,20221575,121
277,20221575,91
278,20221575,83
279,20221575,79
280,20221575,59
